@frequency,dataset_code,dataset_name,FREQ,Frequency,indexed_at,Indicator,INDICATOR,original_period,original_value,period,provider_code,REF_AREA,Reference Area,series_code,series_name,value
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2010-Q4,82331.93850656,14883.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",82331.9385065608
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2011-Q1,86368.44144797,14975.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",86368.4414479691
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2011-Q2,87638.31537872,15065.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",87638.3153787185
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2011-Q3,86198.78789227,15156.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",86198.7878922741
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2011-Q4,82150.08306665,15248.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",82150.0830666453
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2012-Q1,84258.46081908,15340.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",84258.4608190796
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2012-Q2,86971.61903311,15431.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",86971.6190331075
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2012-Q3,88249.65932091,15522.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",88249.6593209097
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2012-Q4,84993.62375298,15614.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",84993.6237529788
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2013-Q1,92543.6563445,15706.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",92543.656344503
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2013-Q2,97823.25525317,15796.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",97823.2552531713
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2013-Q3,96597.80786323,15887.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",96597.8078632259
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2013-Q4,95127.69676368,15979.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",95127.69676368
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2014-Q1,94933.04851909,16071.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",94933.048519085
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2014-Q2,94889.00982395,16161.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",94889.0098239489
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2014-Q3,95929.21238916,16252.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",95929.2123891579
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2014-Q4,97484.80503107,16344.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",97484.8050310664
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2015-Q1,96659.74847743,16436.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",96659.7484774273
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2015-Q2,96263.03882899,16526.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",96263.0388289875
